track_id,track_name,artist_name,album_name,release_date,popularity,duration_ms,explicit,time_range,rank_position,collected_date,spotify_url
4fVoX6BG2jFhPx6uHKevpF,Thought It Was Love,Ty Myers,The Select,2025-01-24,82,246141,0,short_term,1,2025-07-02 14:59:14,https://open.spotify.com/track/4fVoX6BG2jFhPx6uHKevpF
0dS2u2UFd88TIzDDaZDLvS,Here With Me,d4vd,Here With Me,2022-09-22,58,242484,0,short_term,2,2025-07-02 14:59:14,https://open.spotify.com/track/0dS2u2UFd88TIzDDaZDLvS
4IU1RL4BKvFyXtbTwaHAvW,Ventura Highway,America,Homecoming,1972-01-01,82,211680,0,short_term,3,2025-07-02 14:59:14,https://open.spotify.com/track/4IU1RL4BKvFyXtbTwaHAvW
14AyWf6y7KlWWLfAjdKMKI,Ophelia,The Lumineers,Cleopatra,2016-04-08,84,160097,0,short_term,4,2025-07-02 14:59:14,https://open.spotify.com/track/14AyWf6y7KlWWLfAjdKMKI
4AajxCEwGEsmHmT4H1TwjY,undressed,sombr,undressed,2025-03-21,97,182088,0,short_term,5,2025-07-02 14:59:14,https://open.spotify.com/track/4AajxCEwGEsmHmT4H1TwjY
5YKoIm6kDfzy3fPFKBmzN6,On & On & On,Caamp,By and By,2019-07-26,54,217040,0,short_term,6,2025-07-02 14:59:14,https://open.spotify.com/track/5YKoIm6kDfzy3fPFKBmzN6
4vxLWiOERuSSC5edMs6uu0,Daisy Jane,America,Hearts,1975,59,186466,0,short_term,7,2025-07-02 14:59:14,https://open.spotify.com/track/4vxLWiOERuSSC5edMs6uu0
7ne4VBA60CxGM75vw0EYad,That’s So True,Gracie Abrams,The Secret of Us (Deluxe),2024-10-18,96,166300,1,short_term,8,2025-07-02 14:59:14,https://open.spotify.com/track/7ne4VBA60CxGM75vw0EYad
1A3tuE6ti9qoZDwB3LB0t2,I Think I Like When It Rains,WILLIS,Locals 2,2017-06-12,10,278293,0,short_term,9,2025-07-02 14:59:14,https://open.spotify.com/track/1A3tuE6ti9qoZDwB3LB0t2
32xm5clCZkPPc7hdQRZjYQ,Bathroom Light,Mt. Joy,Orange Blood,2022-06-17,67,188266,0,short_term,10,2025-07-02 14:59:14,https://open.spotify.com/track/32xm5clCZkPPc7hdQRZjYQ
5agmWuBAor2UQcNqByOvWC,From,Bon Iver,"SABLE, fABLE",2025-04-11,69,182607,0,short_term,11,2025-07-02 14:59:14,https://open.spotify.com/track/5agmWuBAor2UQcNqByOvWC
5XNOw5EcLiqeqx8KDQY5Q6,Abstract (Psychopomp),Hozier,Unreal Unearth,2023-08-18,61,244120,0,short_term,12,2025-07-02 14:59:14,https://open.spotify.com/track/5XNOw5EcLiqeqx8KDQY5Q6
62qNdSlhFznQD0gHpCGrtw,Delta Dawn,Tanya Tucker,Delta Dawn,1972-04-19,67,178400,0,short_term,13,2025-07-02 14:59:14,https://open.spotify.com/track/62qNdSlhFznQD0gHpCGrtw
2nilAlGEZmwyaLTMMyDdLo,For Emma,Bon Iver,"For Emma, Forever Ago",2008-02-19,74,220720,0,short_term,14,2025-07-02 14:59:14,https://open.spotify.com/track/2nilAlGEZmwyaLTMMyDdLo
5LYJ631w9ps5h9tdvac7yP,Easy Lover,Philip Bailey,Chinese Wall (Expanded Edition),1984-10-01,76,305866,0,short_term,15,2025-07-02 14:59:14,https://open.spotify.com/track/5LYJ631w9ps5h9tdvac7yP
1vX5qdTsxb0Gedzmyc8UV2,A Lingering Love,Fruit Bats,Gold Past Life,2019-06-21,68,216560,0,short_term,16,2025-07-02 14:59:14,https://open.spotify.com/track/1vX5qdTsxb0Gedzmyc8UV2
3lXyvlMnee9RWoe0COt7S4,Memphis; The Blues (feat. J.R. Carroll),Zach Bryan,The Great American Bar Scene,2024-07-04,55,189867,1,short_term,17,2025-07-02 14:59:14,https://open.spotify.com/track/3lXyvlMnee9RWoe0COt7S4
2QTQLUYCTUz8Mar6fGFTiU,Like Ida,Zach Bryan,The Great American Bar Scene,2024-07-04,26,215053,1,short_term,18,2025-07-02 14:59:14,https://open.spotify.com/track/2QTQLUYCTUz8Mar6fGFTiU
59lQwJcWbr9x3OvTvW5NNX,U (Man Like),Bon Iver,"i,i",2019-08-09,49,145720,0,short_term,19,2025-07-02 14:59:14,https://open.spotify.com/track/59lQwJcWbr9x3OvTvW5NNX
63G7tkVugqGnjBLvkPnNX9,best man,mike.,"Love,",2023-02-13,40,157365,1,short_term,20,2025-07-02 14:59:14,https://open.spotify.com/track/63G7tkVugqGnjBLvkPnNX9
6W2PvnTNWUgxCJxRh84ALu,Twenty So,Zach Bryan,Summertime Blues,2022-07-15,57,199316,0,short_term,21,2025-07-02 14:59:14,https://open.spotify.com/track/6W2PvnTNWUgxCJxRh84ALu
